his;per:siblings;Robert
Robert;per:siblings;his
his;per:siblings;Robert
Jon;per:spouse;Robert
Jon;per:spouse;Jon Hand
her;per:spouse;her
her;per:spouse;Lysa
her;per:spouse;her
her;per:spouse;Jon Arryn
Lysa;per:spouse;her
Jon Arryn;per:spouse;Jon Arryn
Lysa;per:spouse;Jon Arryn
Jon Arryn;per:spouse;her
Jon Arryn;per:spouse;Lysa
Lommy;per:parents;Lommy
she;per:siblings;Robb
Robb;per:siblings;she
Sandor Clegane;per:siblings;His
His;per:siblings;His
His;per:siblings;Sandor Clegane
Robert;per:parents;Joffrey
Robert;per:parents;Robert
Joffrey;per:parents;Garlan Tyrell
Garlan Tyrell;per:parents;Joffrey
Joffrey;per:parents;Joffrey
Robert;per:parents;Garlan Tyrell
Joffrey;per:parents;Robert
Garlan Tyrell;per:parents;Robert
Tyrion Lannister;per:siblings;Tyrion Lannister
Winterfell;per:siblings;Tyrion Lannister
Imp;per:siblings;Tyrion Lannister
Tyrion Lannister;per:siblings;Tyrion Lannister
Tyrion Lannister;per:siblings;Imp
Tyrion Lannister;per:siblings;Tyrion Lannister
Starks;per:siblings;Jaime
Jaime;per:siblings;Starks
Starks;per:siblings;Riverrun
Jaime;per:siblings;Jaime
Riverrun;per:siblings;Riverrun
Riverrun;per:siblings;Jaime
Jaime;per:siblings;Riverrun
his;per:siblings;Tywin
Tywin;per:siblings;his
his;per:siblings;Arryn
his;per:siblings;his
Arryn;per:siblings;his
his;per:siblings;Meryn Trant
Robert;per:siblings;his
his;per:siblings;Robert
Meryn Trant;per:siblings;his
his;per:siblings;his
Meryn Trant;per:siblings;Robert
Robert;per:siblings;Meryn Trant
Joffrey;per:siblings;Joffrey
his;per:siblings;Joffrey
Vylarr;per:siblings;his
Petyr Baelish;per:parents;Petyr Baelish
Cheyk;per:parents;Chella
Chella;per:parents;Cheyk
Chella;per:parents;Cheyk
Chella;per:children;Cheyk
Cheyk;per:children;Chella
Chella;per:children;Chella
Chella;per:parents;Cheyk
Cheyk;per:parents;Chella
Robb;per:siblings;his
his;per:siblings;his
his;per:siblings;Robb
Robb;per:siblings;Robb
Robb;per:siblings;his
his;per:siblings;Robb
Robb;per:siblings;his
his;per:siblings;his
his;per:siblings;Robb
Robb;per:siblings;Robb
Walder;per:parents;Merrett
Calon;per:parents;Fat Tom
Palla;per:parents;Fat Tom
Cayn;per:parents;Fat Tom
Calon;per:parents;Fat Tom
Cayn;per:parents;Calon
Cayn;per:parents;Fat Tom
his;per:siblings;his
Mooton;per:children;his
Jeor Mormont;per:children;his
his;per:parents;Jeor Mormont
his;per:children;Jeor Mormont
Jeor Mormont;per:parents;his
Jeor Mormont;per:children;Jeor Mormont
his;per:parents;his
Maekar;per:parents;Aemon
Maekar;per:children;Aemon
Aemon;per:parents;Aemon
Aemon;per:parents;Maekar
Maekar;per:parents;Maekar
Aerys;per:parents;Daeron
Aemon;per:parents;Maekar
Aemon;per:siblings;Aemon
Jaime Lannister;per:siblings;Aemon
Aemon;per:siblings;Jaime Lannister
Her;per:children;Catelyn Stark
Her;per:children;Robb
Robb;per:parents;Her
Her;per:children;Her
Robb;per:parents;Robb
she;per:children;Robb
Her;per:parents;Robb
Robb;per:children;Robb
Her;per:children;Robb
Robb;per:parents;Her
Her;per:parents;Her
she;per:children;Her
Her;per:children;Her
Robb;per:children;Her
Robb;per:parents;she
Her;per:parents;she
Her;per:children;Her
Her;per:children;Grey Wind
Riverrun;per:siblings;Catelyn
Ser Edmure Tully;per:siblings;Ser Edmure Tully
Ser Edmure Tully;per:siblings;Riverrun
Catelyn;per:siblings;Riverrun
Riverrun;per:siblings;Ser Edmure Tully
Ser Edmure Tully;per:siblings;Catelyn
Catelyn;per:siblings;Ser Edmure Tully
Catelyn;per:siblings;Catelyn
Willem Lannister;per:siblings;Willem Lannister
Tion Frey;per:siblings;Tion Frey
Willem Lannister;per:siblings;Tion Frey
Tion Frey;per:siblings;Willem Lannister
