Jon;per:children;Lysa
Elia Martell;per:siblings;Viserys
Jaime;per:siblings;Robert
Jon;per:parents;Lady Stark
Arya;per:siblings;Sansa
Eddard Stark;per:children;Catelyn
Stark;per:spouse;Catelyn
Jon;per:parents;Catelyn
Arya;per:siblings;Sansa
Jaime;per:siblings;Tyrion
Khal Drogo;per:siblings;Viserys
Benjen Stark;per:siblings;Yoren
Maester Luwin;per:children;Catelyn
Lysa;per:siblings;Catelyn
Sansa;per:siblings;Arya
Arya;per:siblings;Sansa
Arya;per:siblings;Sansa
Joffrey;per:children;Prince Joffrey
Stark;per:children;Jory
Jon;per:siblings;Rickon
Arya Stark;per:siblings;Jon
Stark;per:children;Arya
Randyll Tarly;per:children;Samwell
Garlan Tyrell;per:siblings;Stannis
Jason Mallister;per:children;Patrek
Hoster Tully;per:children;Catelyn
Ser Robar;per:siblings;Andar Royce
Patrek Mallister;per:parents;Jason
Martyn Rivers;per:parents;Walder Frey
Sandor Clegane;per:siblings;Garlan Tyrell
Sandor Clegane;per:siblings;Gregor
Robar;per:parents;Yohn Royce's
Loras;per:parents;Mace Tyrell
Robert;per:spouse;Catelyn
Hoster;per:siblings;Brynden Tully
Catelyn;per:siblings;Lysa
Stark;per:spouse;Catelyn Catelyn
Catelyn;per:parents;Mother
Robert Baratheon;per:siblings;Stannis
Lady Arryn;per:children;Jaime
Jory;per:parents;Proud Martyn Cassel
Robert;per:spouse;Lyanna
Sansa;per:siblings;Jon
Bran;per:parents;Cersei
Khal Ogo;per:children;Fogo
Jorah;per:siblings;Rhaegar
Rhaegar;per:siblings;Jorah
Khal Drogo;per:siblings;Rhaegar
Viserys;per:siblings;Rhaegar
Bran Stark;per:spouse;Lyanna
Joffrey;per:parents;Robert
Robert;per:siblings;Renly
Joffrey;per:parents;Jaime Lannister's
Jon;per:parents;Jory
Catelyn;per:children;Sansa Sansa
Joffrey;per:parents;Catelyn Stark
Rickard;per:children;Bran Stark
Rickard;per:siblings;Torrhen
Wylis;per:siblings;Ser Wendel
Shagga;per:parents;Dolf
Hoster Tully;per:siblings;Ser Brynden
Walder;per:parents;Merrett
Walder;per:children;Ronel Rivers
Walder;per:children;Elmar
Khal Ogo;per:children;Fogo
Tyrion;per:siblings;Jaime
Lannister;per:children;Jaime
Dacey Mormont;per:parents;Lady Maege's
Lyanna;per:siblings;Bran Stark're
Rhaegar Targaryen;per:siblings;Rhaegar
Arya Stark;per:siblings;Robb
Aemon Targaryen;per:parents;Maekar
Hoster;per:siblings;Lysa
Joffrey;per:parents;Robert
Garlan Tyrell's;per:siblings;Robert
