he;per:siblings;Renly
Robert;per:siblings;his
his;per:siblings;Robert
Stannis;per:siblings;Robert
Jon;per:spouse;Robert
Jon;per:spouse;Jon Hand
her;per:spouse;her
her;per:spouse;Lysa
her;per:spouse;her
her;per:spouse;Jon Arryn
Lysa;per:spouse;her
Jon Arryn;per:spouse;Jon Arryn
Lysa;per:spouse;Jon Arryn
Jon Arryn;per:spouse;her
Jon Arryn;per:spouse;Lysa
Renly;per:siblings;Starks
Renly;per:siblings;Starks
Robert;per:siblings;his
his;per:siblings;Robert
Starks;per:siblings;Lysa Arryn
Lysa Arryn;per:siblings;Starks
Arya Stark;per:parents;Arya Stark
His;per:siblings;His
Sandor Clegane;per:siblings;His
His;per:siblings;Sandor Clegane
Robert;per:parents;Joffrey
Robert;per:parents;Robert
Joffrey;per:parents;Garlan Tyrell
Garlan Tyrell;per:parents;Joffrey
Joffrey;per:parents;Joffrey
Robert;per:parents;Garlan Tyrell
Joffrey;per:parents;Robert
Garlan Tyrell;per:parents;Robert
her;per:siblings;her
Tyrion Lannister;per:siblings;Tyrion Lannister
Winterfell;per:siblings;Tyrion Lannister
Tyrion Lannister;per:siblings;Tyrion Lannister
Tyrion Lannister;per:siblings;Winterfell
Tyrion Lannister;per:siblings;Tyrion Lannister
her;per:siblings;Riverrun
her;per:siblings;her
his;per:siblings;Tywin
Tywin;per:siblings;his
his;per:siblings;Arryn
his;per:siblings;his
Arryn;per:siblings;his
his;per:siblings;Meryn Trant
Robert;per:siblings;his
his;per:siblings;Robert
Meryn Trant;per:siblings;his
his;per:siblings;his
Meryn Trant;per:siblings;Robert
Robert;per:siblings;Meryn Trant
Joffrey;per:siblings;Joffrey
his;per:siblings;Joffrey
Petyr Baelish;per:parents;Petyr Baelish
Cheyk;per:parents;Chella
Robb;per:siblings;his
his;per:siblings;Robb
Robb;per:siblings;his
his;per:siblings;his
his;per:siblings;Robb
Robb;per:siblings;Robb
Robb;per:siblings;his
his;per:siblings;Robb
Robb;per:siblings;his
his;per:siblings;his
his;per:siblings;Robb
Robb;per:siblings;Robb
Walder Frey;per:parents;Merrett
Merrett;per:parents;Walder Frey
Walder Frey;per:parents;Walder Frey
Merrett;per:children;Walder Frey
Walder Frey;per:parents;Merrett
Walder Frey;per:children;Merrett
Merrett;per:parents;Merrett
Walder Frey;per:parents;Jammos
his;per:children;his
Walder;per:children;his
his;per:parents;Merrett
Walder;per:children;his
Walder;per:parents;Merrett
Walder Frey;per:children;Walder Rivers
Merrett;per:parents;Walder Frey
Walder Frey;per:parents;Merrett
Merrett;per:parents;Walder Frey
Walder Frey;per:parents;Merrett
Walder Frey;per:parents;Merrett
Merrett;per:parents;Walder Frey
Merrett;per:children;Walder Frey
Walder Frey;per:parents;Merrett
Walder Frey;per:children;Merrett
Walder Frey;per:parents;Merrett
Palla;per:parents;Tomard
Cayn;per:parents;Tomard
TomToo;per:parents;Tomard
Tomard;per:children;TomToo
Calon;per:parents;Tomard
Cayn;per:parents;Tomard
TomToo;per:parents;Tomard
Cayn;per:parents;Calon
Tomard;per:children;TomToo
Calon;per:parents;Tomard
Merrett;per:parents;Walder Frey
Walder Frey;per:parents;Merrett
Turnip;per:parents;Merrett
Merrett;per:parents;Walder Frey
Shaggydog;per:parents;Merrett
Walder Frey;per:parents;Merrett
Merrett;per:parents;Shaggydog
Walder Frey;per:parents;Merrett
Merrett;per:siblings;Walder Frey
Merrett;per:parents;Walder Frey
Merrett;per:children;Walder Frey
Rickon;per:children;Merrett
Walder Frey;per:parents;Merrett
Rickon;per:parents;Merrett
Merrett;per:children;Rickon
his;per:siblings;his
Mooton;per:children;his
his;per:parents;his
Aemon;per:parents;Maester Aemon
Maester Aemon;per:parents;Aemon
Maekar;per:parents;Aemon
Maekar;per:children;Aemon
Maekar;per:children;Maester Aemon
Aemon;per:parents;Maekar
Aemon;per:parents;Aemon
Maester Aemon;per:parents;Maekar
Maekar;per:parents;Maekar
Aerys;per:parents;Daeron
Aemon;per:parents;Maekar
Maester Aemon;per:siblings;Jaime Lannister
Maester Aemon;per:siblings;Maester Aemon
Jaime Lannister;per:siblings;Maester Aemon
his;per:siblings;Jeor Mormont
his;per:siblings;his
Jeor Mormont;per:siblings;his
Her;per:children;Robb
Robb;per:parents;Her
Her;per:children;Her
Her;per:children;Her
Her;per:children;Grey Wind
Riverrun;per:siblings;Catelyn
Ser Edmure Tully;per:siblings;Ser Edmure Tully
Catelyn;per:siblings;Riverrun
Ser Edmure Tully;per:siblings;Riverrun
Riverrun;per:siblings;Ser Edmure Tully
Ser Edmure Tully;per:siblings;Catelyn
Catelyn;per:siblings;Ser Edmure Tully
Catelyn;per:siblings;Catelyn
she;per:siblings;Tion Frey
Tion Frey;per:siblings;Tion Frey
Willem Lannister;per:siblings;Tion Frey
Tion Frey;per:siblings;Willem Lannister
Ser Edmure Tully;per:siblings;her
Ser Edmure Tully;per:siblings;Ser Edmure Tully
her;per:siblings;Ser Edmure Tully
her;per:siblings;her
Edmure;per:siblings;her
her;per:siblings;Edmure
Catelyn;per:siblings;Edmure
Edmure;per:siblings;her
her;per:siblings;Edmure
Edmure;per:siblings;Catelyn
Catelyn;per:parents;Rickard
Rickard;per:children;Rickard Karstark
Catelyn;per:parents;Rickard Karstark
Rickard Karstark;per:parents;Rickard
Edmure;per:siblings;her
her;per:siblings;Edmure
Edmure;per:siblings;her
her;per:siblings;Edmure
Edmure;per:siblings;her
her;per:siblings;Edmure
Edmure;per:siblings;her
her;per:siblings;Edmure
Tywin Lannister;per:children;Her
Her;per:parents;Tywin Lannister
Her;per:parents;Her
Her;per:children;Tywin Lannister
Her;per:children;Her
Shae;per:siblings;Shae
Shae;per:siblings;Tyrion
Tyrion;per:siblings;Shae
Devan;per:parents;his
his;per:children;Devan
his;per:children;his
his;per:spouse;his
Robert;per:siblings;Tommen
Myrcella;per:siblings;Jaime the Jaime Lannister
Tommen;per:siblings;Robert
Robert;per:siblings;her
Joffrey;per:siblings;Jaime the Jaime Lannister
Joffrey;per:siblings;Robert
her;per:siblings;Robert
Joffrey;per:siblings;Myrcella
Jaime the Jaime Lannister;per:siblings;Robert
Jaime the Jaime Lannister;per:siblings;Joffrey
Tommen;per:siblings;Jaime the Jaime Lannister
Jaime the Jaime Lannister;per:siblings;Cersei Lannister
Tommen;per:siblings;Myrcella
Joffrey;per:siblings;Tommen
Robert;per:siblings;Joffrey
Jaime the Jaime Lannister;per:siblings;Myrcella
Myrcella;per:siblings;Robert
Jaime the Jaime Lannister;per:siblings;Tommen
her;per:siblings;Jaime the Jaime Lannister
Tommen;per:siblings;Joffrey
Robert;per:siblings;Jaime the Jaime Lannister
Jaime the Jaime Lannister;per:siblings;her
Robert;per:siblings;Myrcella
Cersei Lannister;per:siblings;Jaime the Jaime Lannister
Robert Baratheon;per:parents;Robert Baratheon
Robert Baratheon;per:parents;his
Robert Baratheon;per:parents;Theon Greyjoy
his;per:parents;Robert Baratheon
Pyke;per:parents;Theon Greyjoy
Theon Greyjoy;per:parents;Pyke
Pyke;per:parents;Pyke
Pyke;per:parents;his
his;per:parents;Pyke
Pyke;per:parents;Robert Baratheon
Theon Greyjoy;per:parents;Robert Baratheon
Robert Baratheon;per:parents;Pyke
Theon Greyjoy;per:parents;his
him;per:spouse;him
Great Kraken;per:children;Theon
Theon;per:parents;his
his;per:children;Victarion
his;per:children;his
his;per:parents;his
Her;per:parents;his
his;per:children;his
Her;per:parents;Her
Her;per:children;his
his;per:parents;his
his;per:parents;Her
Theon;per:siblings;Theon
her;per:siblings;her
Theon;per:siblings;her
her;per:siblings;Theon
Theon;per:children;his
his;per:parents;Theon
his;per:children;his
Theon;per:parents;his
his;per:parents;his
his;per:parents;Theon
Pyke;per:parents;his
his;per:parents;Pyke
Theon;per:parents;his
his;per:children;his
Pyke;per:children;his
his;per:parents;his
Pyke;per:parents;Pyke
Theon;per:parents;Pyke
Pyke;per:parents;his
his;per:parents;Rodrik
Robb Stark;per:parents;Winterfell
Winterfell;per:children;his
his;per:parents;Winterfell
Pyke;per:siblings;Greyjoys
Greyjoys;per:siblings;Pyke
Doreah;per:parents;Doreah
Khal Drogo;per:siblings;Viserys
Viserys;per:siblings;Khal Drogo
Viserys;per:siblings;Viserys
Khal Drogo;per:siblings;her
Viserys;per:siblings;Her
Viserys;per:siblings;her
Her;per:siblings;Viserys
Doreah;per:siblings;Viserys
Her;per:siblings;Khal Drogo
Viserys;per:siblings;Her
Her;per:siblings;Viserys
Her;per:siblings;Khal Drogo
Viserys;per:siblings;Daenerys Targaryen
Viserys;per:siblings;Her
Her;per:siblings;Viserys
Her;per:siblings;Khal Drogo
Rhaego;per:children;Viserys
Rhaego;per:children;Rhaego
Viserys;per:children;Khal Drogo
Viserys;per:children;Rhaego
Khal Drogo;per:children;Rhaego
Viserys;per:children;Viserys
Daenerys Targaryen;per:spouse;His
His;per:spouse;Daenerys Targaryen
Ser Hosteen;per:siblings;Jason Mallister
Ser Boros Blount;per:siblings;Ser Hosteen
Ser Ryman Frey;per:siblings;Ser Hosteen
Ser Ryman Frey;per:siblings;Lyle Crakehall
Ser Hosteen;per:siblings;his
Jason Mallister;per:siblings;Ser Hosteen
Ser Hosteen;per:siblings;Ser Hosteen
his;per:siblings;Ser Hosteen
Whent;per:siblings;Ser Hosteen
Lyle Crakehall;per:siblings;Ser Hosteen
Ser Hosteen;per:siblings;Ser Boros Blount
Ser Ryman Frey;per:siblings;Whent
his;per:siblings;Ser Ryman Frey
Lynesse;per:spouse;his
Arya;per:siblings;Jeyne
Jeyne;per:siblings;Arya
Jeyne;per:siblings;Jeyne
Jeyne;per:siblings;her
her;per:siblings;Sandor Clegane
Sandor Clegane;per:siblings;her
her;per:siblings;her
Sandor Clegane;per:siblings;Jeyne
her;per:siblings;Jeyne
Jeyne;per:siblings;Sandor Clegane
Jeyne;per:siblings;Jeyne
Tyrion;per:siblings;Tyrion
Tyrion;per:siblings;his
his;per:siblings;Tyrion
Stannis Baratheon;per:siblings;His
His;per:siblings;Stannis Baratheon
Tyrion;per:spouse;Tyrion
Cersei;per:spouse;Tyrion
Robb;per:siblings;Robb
Merrett;per:parents;Walder Frey
Jammos;per:parents;Walder Frey
Walder Frey;per:parents;Merrett
Walder Frey;per:parents;Jammos
Merrett;per:parents;Walder Frey
Merrett;per:children;Walder Frey
Walder Frey;per:parents;Merrett
Crakehall;per:children;Merrett
Frey;per:children;Merrett
Darry;per:children;Merrett
Walder Frey;per:children;Merrett
Merrett;per:parents;Frey
Walder Frey;per:parents;Walder Frey
Darry;per:parents;Walder Frey
Darry;per:parents;Merrett
Merrett;per:children;Frey
Merrett;per:parents;Walder Frey
Merrett;per:parents;Crakehall
Merrett;per:children;Darry
Walder Frey;per:parents;Merrett
Walder Frey;per:parents;Darry
Merrett;per:children;Crakehall
Merrett;per:children;Merrett
Frey;per:parents;Merrett
Crakehall;per:parents;Walder Frey
Frey;per:parents;Darry
Frey;per:parents;Crakehall
Merrett;per:children;Walder Frey
Merrett;per:parents;Darry
Crakehall;per:parents;Merrett
Walder Frey;per:parents;Crakehall
Merrett;per:parents;Merrett
Walder Frey;per:parents;Jammos
Jammos;per:parents;Jammos
Jammos;per:children;Jammos
Jammos;per:parents;Walder Frey
Walder Frey;per:children;Jammos
Jammos;per:children;Walder Frey
Walder Frey;per:parents;Jammos
Walder Frey;per:parents;Jammos
Walder Frey;per:children;Jammos
Jammos;per:children;Walder Frey
Walder Frey;per:parents;Jammos
Merrett;per:parents;Walder Frey
Walder Frey;per:children;Jammos
Walder Frey;per:parents;Merrett
Jammos;per:children;Walder Frey
Walder Frey;per:parents;Jammos
Walder Frey;per:children;Merrett
Merrett;per:parents;Jammos
Walder Frey;per:parents;Walder Frey
Jammos;per:children;Jammos
Jammos;per:parents;Walder Frey
Merrett;per:children;Walder Frey
Merrett;per:children;Jammos
Jammos;per:parents;Merrett
Jammos;per:children;Merrett
Jammos;per:parents;Walder Frey
Jammos;per:children;Walder Frey
Walder Frey;per:parents;Jammos
Merrett;per:parents;Walder Frey
Walder Frey;per:parents;Merrett
Walder Frey;per:children;Merrett
Merrett;per:parents;Walder Frey
Walder Frey;per:parents;Merrett
Jammos;per:parents;Walder Frey
Walder Frey;per:parents;Jammos
Walder Frey;per:parents;Jammos
Walder Frey;per:parents;Merrett
Merrett;per:parents;Walder Frey
Walder Frey;per:parents;Walder Frey
Merrett;per:children;Walder Frey
Walder Frey;per:parents;Hodor
Walder Frey;per:parents;Merrett
Hodor;per:children;Merrett
Merrett;per:children;Merrett
Merrett;per:children;Hodor
Walder Frey;per:children;Merrett
Merrett;per:parents;Merrett
Merrett;per:parents;Walder Frey
Merrett;per:children;Walder Frey
Walder Frey;per:parents;Merrett
Merrett;per:children;Merrett
Walder Frey;per:children;Merrett
Merrett;per:parents;Walder Frey
Walder Frey;per:parents;Merrett
Walder Frey;per:children;Merrett
Walder Frey;per:parents;Jammos
Merrett;per:parents;Walder Frey
Jammos;per:parents;Walder Frey
Maester Luwin;per:parents;Merrett
Walder Frey;per:parents;Merrett
Walder Frey;per:parents;Jammos
Maester Luwin;per:parents;Jammos
Walder Frey;per:parents;Merrett
Merrett;per:parents;Walder Frey
Walder Frey;per:parents;Merrett
Walder Frey;per:parents;Merrett
Wendel;per:children;Wendel
Wendel;per:parents;Lady Catelyn
Lady Catelyn;per:children;Wendel
Wendel;per:children;Wendel
Jon;per:siblings;Hornwood
Hornwood;per:siblings;Jon
Martyn;per:siblings;Jory
Jory;per:siblings;Martyn
Martyn;per:siblings;Martyn
Robb;per:siblings;Robb
his;per:children;his
his;per:children;Roose Bolton
his;per:children;Ser Rodrik
Roose Bolton;per:parents;his
Robb;per:siblings;Ser Rodrik
Ser Rodrik;per:siblings;Robb
Her;per:children;Lollys
Lollys;per:parents;Her
Renly;per:siblings;his
Joffrey;per:siblings;Renly
Renly;per:siblings;Renly
his;per:siblings;Renly
hers;per:parents;hers
his;per:parents;his
Doran Martell;per:siblings;Elia
Elia;per:siblings;Doran Martell
Sansa;per:siblings;Sansa
Sandor Clegane;per:siblings;Sansa
Her;per:parents;Her
Her;per:children;Her
Arya;per:children;Arya
King Aerys;per:parents;King Jaehaerys
King Jaehaerys;per:parents;King Aerys
Jaime;per:siblings;His
His;per:siblings;Jaime
His;per:siblings;His
Jaime;per:siblings;Jaime
Myrcella;per:spouse;Tommen
Beth;per:parents;Ser Rodrik
Ser Rodrik;per:children;Beth
Robb;per:spouse;Arya
Merrett;per:parents;Walder Frey
Jammos;per:parents;Walder Frey
Walder Frey;per:parents;Merrett
Jammos;per:siblings;Ser Rodrik
Jammos;per:parents;Ser Rodrik
Walder Frey;per:parents;Jammos
Merrett;per:siblings;Ser Rodrik
Ser Rodrik;per:parents;Jammos
Ser Rodrik;per:parents;Merrett
Benjen Stark;per:siblings;Robb
Benjen Stark;per:siblings;Myrcella
Benjen Stark;per:siblings;Tommen
