Robert;per:siblings;Stark Stark
Ser Horas Redwyne;per:siblings;Ser Meryn
Joffrey;per:parents;Robert
Aemon Aemon Targaryen;per:parents;Maekar
Walder Frey;per:parents;Merrett
Walder Frey;per:parents;Merrett
Walder Frey;per:parents;Merrett
Walder Frey;per:parents;Merrett
Walder;per:parents;Merrett
Walder;per:spouse;Crakehall
Walder Frey;per:parents;Merrett
Walder Frey;per:parents;Merrett
Walder Frey;per:parents;Merrett
Walder Frey;per:parents;Merrett
Walder Frey;per:parents;Merrett
Calon;per:parents;Tomard
Tomard;per:children;Calon
Walder Frey;per:parents;Merrett
Walder Frey;per:parents;Merrett
Walder Frey;per:parents;Merrett
Walder Frey;per:parents;Merrett
Daeron Targaryen;per:parents;Name
Aemon;per:parents;Maekar
Aemon Targaryen;per:parents;Maekar
Aemon Targaryen;per:parents;Maekar
Maekar;per:children;Aemon
Catelyn;per:siblings;Ser Edmure Tully
Karstark;per:siblings;Edmure
Edmure;per:siblings;Catelyn
Edmure;per:siblings;Cersei
Shae;per:siblings;Tysha
Robb;per:siblings;Jon Snow
Doreah;per:siblings;Viserys
Viserys;per:siblings;Khal Drogo
Jason Mallister;per:siblings;Ser Hosteen
Walder Frey;per:parents;Merrett
Walder Frey;per:parents;Merrett
Walder Frey;per:parents;Merrett
Walder Frey;per:parents;Merrett
Walder Frey;per:parents;Merrett
Walder Frey;per:parents;Merrett
Walder Frey;per:parents;Merrett
Sansa;per:siblings;Sandor Clegane
Sandor Clegane's;per:siblings;Sansa
Sandor Clegane's;per:siblings;Sansa
Aerys;per:siblings;Jaime
Ser Rodrik;per:children;Beth
Walder Frey;per:parents;Merrett
Walder Frey;per:parents;Merrett
Walder Frey;per:parents;Merrett
Walder Frey;per:parents;Merrett
Catelyn;per:parents;Robert
Brienne Tarth;per:parents;Selwyn
Lady Catelyn Stark;per:children;Robb
Jon;per:spouse;Wife
Gyles;per:spouse;Lady Ermesande
Sansa Stark;per:parents;Joffrey
Myrcella;per:spouse;Robert
Rhaegar;per:siblings;Daenerys Targaryen
Meera;per:siblings;Jojen
Arya;per:siblings;Meera
Grace;per:siblings;Lancel
Ilyn Payne;per:children;Joffrey
Hobber;per:siblings;Sandor Clegane
Jaime;per:siblings;Robb
Robert;per:siblings;Brienne
Robert;per:siblings;Catelyn
Meera;per:siblings;Jojen Reed
Martyn Rivers;per:siblings;Ser Perwyn
Brienne;per:siblings;Ser Edmure Tully
Maekar;per:parents;Viserys II
Jalabhar Xho;per:parents;Lady Tanda
Joffrey;per:siblings;Sansa Stark
Horas Redwyne;per:children;Lollys
Joffrey;per:parents;Jaime
Walder Frey;per:parents;Merrett
Jojen Reed;per:siblings;Meera
Aegon Targaryen;per:parents;Rhaegar
Swann;per:children;Balon
Arya Stark;per:children;Robb
Aemon Aemon Targaryen;per:parents;Maekar
Catelyn;per:children;Bran Catelyn
Bran Stark;per:parents;Lord Rickard
Robb;per:siblings;Sansa
Aemon Aemon Targaryen;per:parents;Maekar
Aegon Targaryen;per:parents;Rhaegar
Ser Loras;per:siblings;Ser Garlan Tyrell
Loras Tyrell;per:siblings;Ser Loras
Grace;per:parents;Robert
Edwyle;per:parents;Lord Willam
Rickard Stark;per:parents;Edwyle
Rickard Stark;per:parents;Edwyle
Rickard Stark;per:parents;Edwyle
Rickard Stark;per:parents;Edwyle
