Meha;per:siblings;Varamyr Varamyr
Varamyr;per:parents;Father
Aegon;per:siblings;Viserys
Viserys;per:parents;Aerys II Targaryen
Illyrio Mopatis;per:parents;Rhaegar Targaryen
Tyrion Lannister;per:siblings;Jaime
Mance;per:spouse;Dalla
Lord Willam;per:siblings;Artos Stark
Tyrion Lannister;per:parents;Tywin
Father;per:children;Tyrion Lannister
Hazzea;per:parents;Drogon
Meera;per:siblings;Hodor
Bran;per:siblings;Arya
Targaryen;per:children;Aerys
Marselen;per:siblings;Missandei
Robert;per:siblings;Massey
Sansa;per:siblings;Jon Jon
Tysha;per:parents;Father
Aegon Targaryen;per:parents;Jon Connington
Stannis Baratheon;per:siblings;Robert
Lord Wyman;per:children;Ser Wylis
Elia;per:children;Aegon
Robett Glover;per:siblings;Galbart
Asha Greyjoy;per:parents;Balon
Asha Greyjoy;per:parents;Hagen
Osgood Arryn;per:children;Oswin Arryn
Prince Aemon Aemon Targaryen;per:parents;Viserys II
Wendel;per:parents;Davos
Wendel;per:parents;Wyman Manderly
Lady Dustin;per:parents;Rodrik Ryswell
Eddard Stark Stark;per:children;Kyra
Stark Stark;per:children;Eddard Stark Stark
Eddard Stark Stark;per:children;Reek
Eddard;per:parents;Stark Stark
Eddard Stark Stark;per:children;Reek
Eddard;per:parents;Stark Stark
Daenerys;per:siblings;Daeron II Targaryen
Daemon Blackfyre;per:siblings;Daeron
Hotah;per:siblings;Ellaria Sand
Father;per:children;Tyene
Ellaria;per:parents;Father
Valiant Eddard Stark;per:spouse;Catelyn Stark
Galbart Glover;per:spouse;Lady Sybelle
Donnel;per:siblings;Artos
Baratheon;per:siblings;Viserys
Her;per:parents;Arya Stark
Arya;per:siblings;Jon
Queen Selyse;per:spouse;Stannis
Walda Frey;per:spouse;Bolton
Taena;per:spouse;Merryweather
Cersei;per:spouse;Jaime
Aegon;per:children;Jaehaerys
Aegon;per:children;Jaehaerys
Jaehaerys;per:parents;Aegon
Longwater;per:siblings;Aeron
Toregg;per:parents;Jon
Tormund;per:children;Toregg
Knight;per:children;Ronnet
Raymund;per:siblings;Ronnet
Robert;per:siblings;Stannis
Arnolf Karstark;per:children;Arthor
Arthor Karstark;per:parents;Arnolf Karstark
Aeron;per:siblings;Targaryen
Victarion;per:siblings;Aeron
Brusco;per:children;Talea
Brusco;per:children;Talea
Brusco;per:children;Talea
Semosh;per:siblings;Selloso
Cersei;per:parents;Tywin Lannister
Grace King Tommen;per:parents;Cersei
Ser Oswell;per:siblings;Whent
Ser Brus Buckler;per:spouse;Ser Malegorn
Mance Rayder;per:children;Mance Rayder Melisandre
Kevan Lannister;per:parents;Kinder
Elia;per:spouse;Rhaegar
