Harwin;per:parents;Hullen
Catelyn;per:spouse;Eddard Stark
Khal Moro;per:children;Rhogoro
Theon;per:parents;Eddard Stark
Jaime;per:siblings;Robert
Jon;per:parents;Lady Stark
Sansa;per:siblings;Arya
Eddard Stark;per:children;Jon
Eddard Stark;per:children;Catelyn
Catelyn;per:spouse;Eddard Stark
Catelyn;per:parents;Eddard Stark
Jon;per:parents;Eddard Stark
Maekar;per:parents;Viserys II
Lord Arryn;per:spouse;Catelyn
Sansa;per:siblings;Arya
Arya;per:siblings;Sansa
Joffrey;per:children;Prince Joffrey
Jon;per:siblings;Rickon
Rhaegar;per:siblings;Rhaegar Targaryen
Arya Stark;per:siblings;Jon
Arya;per:parents;Eddard Stark
Eddard Stark;per:children;Arya
Jason Mallister;per:children;Patrek
Hoster Tully;per:children;Catelyn
Ser Robar;per:siblings;Ser Andar Royce
Patrek Mallister;per:parents;Jason
Martyn Rivers;per:parents;Walder Frey
Sandor Clegane;per:siblings;Garlan Tyrell
Sandor Clegane;per:siblings;Ser Gregor Gregor Clegane
Ser Loras;per:parents;Mace Tyrell
Arya;per:parents;Eddard Stark
Aemon Targaryen;per:parents;Maekar
Robert;per:spouse;Catelyn
Lysa;per:siblings;Catelyn
Catelyn;per:parents;Jon Arryn's
Robert Baratheon;per:siblings;Stannis
Lady Arryn;per:children;Jaime
Robert;per:spouse;Lyanna
Gunthor;per:parents;Gurn
Gunthor;per:parents;Gurn
Gunthor;per:parents;Gurn
Catelyn;per:siblings;Edmure Tully
Ser Jorah;per:siblings;Rhaegar
Rhaegar;per:siblings;Ser Jorah
Ser Jorah;per:siblings;Rhaegar
Targaryen;per:siblings;Rhaegar
Bran Stark;per:spouse;Lyanna
Joffrey;per:parents;Robert
Joffrey;per:parents;Jaime Lannister's
Joffrey;per:spouse;Sansa
Robert;per:children;Joffrey
Jon;per:siblings;Robb
Sansa;per:parents;Lady Catelyn
Joffrey;per:parents;Lady Catelyn Stark
Lord Rickard;per:children;Bran Stark
Eddard;per:siblings;Torrhen
Rhaegar;per:siblings;Rhaegar Targaryen
Robb;per:children;Ser Wendel
Gunthor;per:parents;Gurn
Gunthor;per:parents;Gurn
Ulf;per:parents;Umar
Lysa Arryn;per:children;Robert
Lord Hoster Tully;per:siblings;Ser Brynden
Catelyn;per:siblings;Edmure
Catelyn;per:siblings;Edmure
Merrett;per:children;Walder
Ronel Rivers;per:parents;Walder
Walder;per:children;Elmar
Maekar;per:parents;Viserys II
Walder;per:children;Robb
Eddard;per:siblings;Torrhen Karstark
Dacey Mormont;per:parents;Lady Maege's
Jon;per:siblings;Rickon
Aemon Targaryen;per:parents;Maekar
Mad King Aerys;per:children;Lyanna
Sansa;per:parents;Joffrey
Rhaegar Targaryen;per:siblings;Rhaegar
Arya Stark;per:siblings;Robb
Robb;per:siblings;Aemon Targaryen
Joffrey;per:parents;Robert
Garlan Tyrell's;per:siblings;Robert
