Robert;per:siblings;Renly
Robert;per:siblings;Renly
Robert;per:siblings;Eddard Stark Stark
Starks;per:siblings;Renly
Prince Tommen;per:siblings;Bran
Horas Redwyne;per:siblings;Ser Meryn
Joffrey;per:parents;King Robert
Tyrion;per:siblings;Sansa
Aemon Aemon Targaryen;per:parents;Maekar I)
Chella;per:parents;Cheyk
Chella;per:parents;Cheyk
Chella;per:parents;Cheyk
Chella;per:parents;Cheyk
Chella;per:parents;Cheyk
Chella;per:parents;Cheyk
Walder Frey;per:parents;Merrett
the King in the North;per:siblings;Robb
Walder Frey;per:parents;Merrett
Walder Frey;per:parents;Merrett
Walder Frey;per:parents;Jammos
Walder;per:parents;Jammos
Walder;per:parents;Merrett
Walder;per:spouse;Crakehall
Walder Frey;per:parents;Merrett
Walder Frey;per:parents;Merrett
Walder Frey;per:parents;Merrett
Walder Frey;per:parents;Merrett
Walder Frey;per:parents;Merrett
TomToo;per:parents;Tomard
TomToo;per:parents;Tomard
Walder Frey;per:parents;Merrett
Walder Frey;per:parents;Merrett
Walder Frey;per:parents;Merrett
Walder Frey;per:parents;Merrett
Aemon;per:parents;Maekar
Aemon Targaryen;per:parents;Maekar
Daeron;per:parents;Aegon IV Targaryen
Aemon Targaryen;per:parents;Maekar I)
Maekar;per:children;Aemon
King;per:siblings;Daeron
Aegon;per:siblings;Aemon
Olyvar Frey;per:parents;the Lady Genna
Walder;per:children;Ser Emmon Frey
Catelyn;per:siblings;Ser Edmure Tully
Catelyn;per:siblings;Edmure
Edmure;per:siblings;Catelyn
Edmure;per:siblings;Cersei
Shae;per:siblings;Tysha
Stannis Baratheon;per:children;Devan
Nissa Nissa;per:spouse;Azor Ahai
Robb;per:siblings;Jon Snow
Doreah;per:siblings;Rhaegar
Doreah;per:siblings;Viserys
Viserys;per:siblings;Khal Drogo
Viserys;per:siblings;Rhaegar
Jason Mallister;per:siblings;Ser Hosteen
Tyrion;per:children;Cersei
Walder Frey;per:parents;Merrett
Walder Frey;per:parents;Jammos)'s
Walder Frey;per:parents;Jammos
Walder Frey;per:parents;Merrett
Walder Frey;per:parents;Jammos
Walder Frey;per:parents;Merrett
Walder Frey;per:parents;Merrett
Walder Frey;per:parents;Jammos
Walder Frey;per:parents;Merrett
Walder Frey;per:parents;Jammos
Walder Frey;per:parents;Jammos
Walder Frey;per:parents;Merrett
Walder Frey;per:parents;Merrett
Walder Frey;per:parents;Merrett
Ser Wylis;per:parents;Tywin Lannister
Hother;per:siblings;Bran
Mors;per:spouse;Donella Hornwood
Martyn;per:siblings;Jory
Hornwood;per:siblings;Halys
Stannis;per:siblings;Tyrion
Renly;per:siblings;Stannis
Doran Martell;per:siblings;Elia
King Aerys;per:siblings;Jaime
Tion Frey;per:siblings;Tyrion
Myrcella;per:spouse;Tommen
Benjen Stark;per:siblings;Bran
Walder Frey;per:parents;Merrett
Walder Frey;per:parents;Merrett
Walder Frey;per:parents;Merrett
Walder Frey;per:parents;Merrett
Catelyn;per:parents;Robert
Margaery;per:parents;Mace Tyrell
Margaery;per:parents;Mace Tyrell
Brienne Tarth;per:parents;Selwyn
Robert;per:siblings;Renly
Grenn;per:siblings;Dywen
Ambrode;per:spouse;Sigrin
Ambrode;per:children;Sigrin
Balon;per:siblings;Silence
Trystane;per:parents;Princess Myrcella
Sansa Stark;per:parents;Joffrey
Rhaegar;per:siblings;Daenerys Targaryen
Jojen;per:siblings;Bran
Arya;per:siblings;Bran
Bran;per:siblings;Jon
Robert;per:siblings;Stannis
Ilyn Payne;per:children;Joffrey
Hobber;per:siblings;Sandor Clegane
Sansa;per:siblings;Jaime
Rickon;per:siblings;Bran
Robert;per:siblings;Brienne
Renly;per:siblings;Robert's
Walder Frey;per:parents;Jammos
Walder Frey;per:parents;Jammos
Walder Frey;per:parents;Jammos
Walder Frey;per:parents;Jammos
Walder Frey;per:parents;Jammos
Bran;per:siblings;Osha
Walder Frey;per:parents;Jammos
Walder Frey;per:parents;Jammos
Walder Frey;per:parents;Jammos
Walder Frey;per:parents;Jammos
Walder Frey;per:parents;Jammos
Walder Frey;per:parents;Jammos
Walder Frey;per:parents;Jammos
Walder Frey;per:parents;Jammos
Walder Frey;per:parents;Jammos
Walder Frey;per:parents;Jammos
Meera;per:siblings;Jojen Reed
Lady Hornwood;per:spouse;Hornwood
King Joffrey;per:spouse;Loras Tyrell
Tywin;per:siblings;Ser Kevan
Walder Frey;per:children;Martyn Rivers
Lucas;per:parents;Tytos
Brienne Tarth;per:parents;Selwyn the Evenstar
Catelyn;per:siblings;Robb
Osney;per:siblings;Osfryd
Aemon Aemon Targaryen;per:parents;Viserys II
Meryn;per:siblings;Cersei
Jalabhar Xho;per:parents;Tanda
Joffrey;per:siblings;Sansa Stark
Shagga;per:parents;Dolf
Catelyn;per:siblings;Edmure
Ashara Dayne;per:children;Jon
Arya;per:siblings;Sansa
Walder Frey;per:parents;Merrett
Meera;per:siblings;Jojen Reed
Arya Stark;per:parents;Lommy
Eddard Stark Stark;per:siblings;Robb
Bran;per:siblings;Rickon
Aemon Aemon Targaryen;per:parents;Maekar I)
Ser Osmund's;per:siblings;Osney
Catelyn;per:children;Bran Catelyn
Her;per:siblings;Bran Stark
Robb;per:siblings;Sansa
Aemon Aemon Targaryen;per:parents;Maekar I)
Davos;per:children;Matthos
Tyrion;per:siblings;Robert
Sansa;per:siblings;Osfryd
Cersei;per:siblings;Osfryd
Aemon Aemon Targaryen;per:parents;Maekar I)
Aegon Targaryen;per:parents;Rhaegar
Elmar;per:parents;the Lord of the Crossing
Arya;per:parents;Syrio Forel
Ser Loras;per:siblings;Ser Garlan Tyrell
Garlan Tyrell;per:siblings;Ser Loras
Margaery;per:siblings;Garlan
Petyr Baelish;per:spouse;Garlan Tyrell
Rickard Stark;per:parents;Lord Edwyle
Rickard Stark;per:parents;Edwyle
Rickard Stark;per:parents;Edwyle
Rickard Stark;per:parents;Edwyle
Bran;per:parents;Eddard
